CustomerID,Name,Age,Salary ($),Gender,Marital Status,Education,Loan Approval,Zip Code,Satisfaction Score
1,Customer_1,70,124000,Female,Divorced,High School,Yes,18814,1
2,Customer_2,42,68000,Male,Married,High School,No,39976,1
3,Customer_3,47,181000,Male,Divorced,Master,Yes,15875,1
4,Customer_4,43,115000,Male,Married,High School,Yes,48555,4
5,Customer_5,52,45000,Female,Married,PhD,No,92851,1
6,Customer_6,46,130000,Male,Single,Bachelor,Yes,35224,5
7,Customer_7,52,131000,Female,Divorced,PhD,Yes,79043,3
8,Customer_8,52,83000,Male,Divorced,PhD,No,41077,5
9,Customer_9,27,165000,Male,Single,High School,No,98103,4
10,Customer_10,50,148000,Male,Single,PhD,No,76209,3
11,Customer_11,25,69000,Female,Single,Bachelor,Yes,94673,2
12,Customer_12,40,37000,Female,Divorced,Master,No,81967,1
13,Customer_13,24,70000,Male,Married,High School,Yes,23179,1
14,Customer_14,41,130000,Female,Married,High School,Yes,58672,2
15,Customer_15,50,78000,Male,Divorced,Master,No,72314,5
16,Customer_16,30,49000,Male,Married,PhD,Yes,97698,5
17,Customer_17,49,79000,Female,Divorced,Master,No,63034,3
18,Customer_18,34,60000,Male,Divorced,Bachelor,No,98457,4
19,Customer_19,32,79000,Female,Single,High School,Yes,43751,3
20,Customer_20,63,110000,Female,Divorced,Master,Yes,17801,1
21,Customer_21,51,136000,Female,Divorced,PhD,Yes,84536,5
22,Customer_22,57,134000,Male,Divorced,Master,Yes,11941,4
23,Customer_23,60,120000,Male,Married,Bachelor,Yes,27905,1
24,Customer_24,55,63000,Male,Married,Bachelor,No,76707,4
25,Customer_25,30,104000,Male,Married,Bachelor,Yes,40600,3
26,Customer_26,20,162000,Female,Divorced,Master,Yes,78730,3
27,Customer_27,56,147000,Female,Single,Bachelor,No,90946,1
28,Customer_28,35,168000,Male,Single,Master,Yes,39097,3
29,Customer_29,54,116000,Female,Single,Master,No,78658,4
30,Customer_30,58,38000,Male,Married,Master,Yes,71947,3
31,Customer_31,59,34000,Female,Single,High School,Yes,62405,1
32,Customer_32,31,72000,Male,Divorced,PhD,Yes,42764,2
33,Customer_33,46,147000,Female,Divorced,Master,Yes,65421,5
34,Customer_34,31,69000,Male,Single,High School,No,86594,3
35,Customer_35,34,172000,Male,Divorced,High School,No,14689,2
36,Customer_36,59,143000,Female,Married,PhD,No,55355,4
37,Customer_37,22,155000,Female,Single,Bachelor,Yes,56616,2
38,Customer_38,22,48000,Female,Married,PhD,Yes,44214,2
39,Customer_39,53,140000,Female,Married,Bachelor,Yes,42316,2
40,Customer_40,35,92000,Male,Married,PhD,No,50114,1
41,Customer_41,21,47000,Female,Single,High School,No,61155,4
42,Customer_42,60,53000,Female,Married,High School,Yes,68628,2
43,Customer_43,40,38000,Female,Single,Master,Yes,96453,5
44,Customer_44,54,113000,Male,Married,PhD,Yes,72410,4
45,Customer_45,30,46000,Female,Divorced,Bachelor,Yes,40768,4
46,Customer_46,19,91000,Female,Divorced,Master,Yes,57293,2
47,Customer_47,71,158000,Female,Married,Bachelor,No,47692,5
48,Customer_48,36,90000,Female,Single,High School,No,30628,2
49,Customer_49,19,30000,Female,Single,High School,No,24904,1
50,Customer_50,18,150000,Male,Single,High School,No,84501,3
51,Customer_51,66,59000,Female,Married,Master,Yes,35427,5
52,Customer_52,31,90000,Female,Single,Master,Yes,17255,3
53,Customer_53,54,129000,Female,Divorced,High School,No,76661,5
54,Customer_54,49,67000,Male,Divorced,Master,No,61021,1
55,Customer_55,53,115000,Female,Divorced,Bachelor,No,78543,5
56,Customer_56,72,74000,Male,Single,High School,Yes,74086,1
57,Customer_57,25,38000,Female,Married,Bachelor,Yes,35971,4
58,Customer_58,38,63000,Female,Divorced,High School,Yes,37744,2
59,Customer_59,49,30000,Female,Married,Bachelor,No,45488,2
60,Customer_60,42,103000,Female,Single,Bachelor,No,75954,5
61,Customer_61,61,155000,Male,Divorced,High School,Yes,92773,5
62,Customer_62,45,111000,Male,Divorced,PhD,Yes,54581,2
63,Customer_63,49,121000,Female,Married,Master,Yes,50054,3
64,Customer_64,25,146000,Male,Divorced,High School,No,93964,3
65,Customer_65,32,95000,Male,Divorced,Master,No,34272,1
66,Customer_66,32,152000,Female,Single,Master,Yes,79378,5
67,Customer_67,59,39000,Male,Single,Master,No,88777,3
68,Customer_68,60,40000,Male,Divorced,PhD,Yes,52282,2
69,Customer_69,25,91000,Female,Divorced,Bachelor,Yes,51815,5
70,Customer_70,67,92000,Female,Single,Bachelor,No,59300,3
71,Customer_71,19,48000,Male,Single,PhD,Yes,60959,1
72,Customer_72,48,103000,Male,Divorced,Master,No,86500,3
73,Customer_73,26,172000,Male,Married,High School,No,49115,4
74,Customer_74,50,73000,Male,Married,Master,No,99041,1
75,Customer_75,60,123000,Female,Divorced,PhD,Yes,42917,4
76,Customer_76,36,89000,Female,Married,PhD,No,69132,1
77,Customer_77,27,123000,Male,Divorced,Master,Yes,77686,4
78,Customer_78,26,159000,Male,Single,PhD,No,29964,3
79,Customer_79,48,66000,Female,Single,High School,Yes,92773,2
80,Customer_80,26,97000,Male,Married,High School,No,15510,3
81,Customer_81,35,98000,Female,Married,PhD,Yes,56849,2
82,Customer_82,45,90000,Female,Single,High School,Yes,41795,3
83,Customer_83,29,42000,Female,Married,PhD,No,41809,4
84,Customer_84,53,100000,Female,Single,High School,No,51180,3
85,Customer_85,50,38000,Female,Married,PhD,Yes,80932,5
86,Customer_86,21,49000,Male,Married,Master,No,16363,4
87,Customer_87,50,91000,Male,Married,High School,No,84190,4
88,Customer_88,29,91000,Female,Single,Bachelor,No,35621,5
89,Customer_89,67,60000,Female,Married,PhD,Yes,75968,3
90,Customer_90,20,106000,Male,Married,High School,Yes,48244,4
91,Customer_91,54,64000,Female,Single,Bachelor,Yes,11117,5
92,Customer_92,18,89000,Male,Married,Master,Yes,99789,5
93,Customer_93,37,72000,Male,Married,PhD,No,75070,1
94,Customer_94,54,41000,Male,Single,Master,No,89858,4
95,Customer_95,22,56000,Male,Married,Bachelor,No,48728,4
96,Customer_96,36,125000,Male,Single,Master,Yes,35337,1
97,Customer_97,41,110000,Male,Single,Master,Yes,15547,5
98,Customer_98,43,103000,Male,Single,High School,Yes,57964,4
99,Customer_99,21,139000,Female,Married,Master,Yes,41106,3
100,Customer_100,34,107000,Female,Married,Bachelor,Yes,10801,4
101,Customer_101,52,77000,Male,Single,PhD,No,97335,4
102,Customer_102,18,92000,Male,Divorced,Bachelor,Yes,57798,2
103,Customer_103,26,48000,Female,Divorced,Master,No,64573,2
104,Customer_104,45,134000,Male,Single,PhD,Yes,41301,3
105,Customer_105,51,39000,Female,Married,PhD,Yes,83497,5
106,Customer_106,74,70000,Male,Divorced,High School,Yes,94487,5
107,Customer_107,44,129000,Male,Married,High School,No,51260,1
108,Customer_108,36,90000,Female,Divorced,Master,Yes,79149,3
109,Customer_109,70,118000,Female,Single,PhD,No,69110,5
110,Customer_110,57,114000,Male,Single,High School,No,71506,5
111,Customer_111,41,34000,Male,Divorced,High School,Yes,71961,2
112,Customer_112,48,56000,Male,Married,PhD,No,66689,1
113,Customer_113,18,137000,Male,Single,High School,No,90946,5
114,Customer_114,69,106000,Female,Single,Bachelor,Yes,91160,3
115,Customer_115,51,39000,Female,Married,Master,No,19241,2
116,Customer_116,30,46000,Female,Married,High School,No,74907,1
117,Customer_117,69,90000,Male,Married,High School,No,34415,3
118,Customer_118,30,170000,Female,Single,PhD,No,17635,4
119,Customer_119,38,118000,Male,Single,High School,Yes,10662,4
120,Customer_120,39,63000,Male,Single,Master,Yes,37580,2
121,Customer_121,60,111000,Male,Married,Master,No,33196,1
122,Customer_122,43,104000,Female,Single,High School,Yes,31900,3
123,Customer_123,35,81000,Female,Single,Bachelor,Yes,74888,4
124,Customer_124,58,75000,Male,Married,Bachelor,No,60047,3
125,Customer_125,21,117000,Male,Married,PhD,Yes,70953,1
126,Customer_126,39,59000,Male,Married,Master,No,25250,2
127,Customer_127,41,83000,Male,Divorced,Bachelor,Yes,80206,4
128,Customer_128,32,72000,Male,Divorced,Bachelor,Yes,49206,1
129,Customer_129,66,63000,Female,Divorced,High School,No,96860,4
130,Customer_130,36,95000,Male,Married,Bachelor,No,82580,5
131,Customer_131,27,45000,Male,Married,Master,Yes,54716,4
132,Customer_132,33,99000,Female,Divorced,Master,No,13956,4
133,Customer_133,25,42000,Male,Single,High School,No,46900,1
134,Customer_134,18,65000,Female,Single,Master,No,38658,2
135,Customer_135,17,130000,Male,Single,PhD,Yes,38632,3
136,Customer_136,35,113000,Female,Single,Bachelor,Yes,95615,4
137,Customer_137,60,52000,Male,Single,PhD,No,72383,4
138,Customer_138,67,152000,Male,Single,PhD,No,62180,5
139,Customer_139,21,130000,Female,Single,Bachelor,Yes,24728,1
140,Customer_140,17,28000,Male,Married,Bachelor,Yes,29847,5
141,Customer_141,51,174000,Female,Married,PhD,No,67290,5
142,Customer_142,68,159000,Female,Married,High School,Yes,20909,3
143,Customer_143,35,36000,Male,Married,High School,No,62151,1
144,Customer_144,48,66000,Female,Single,Bachelor,Yes,76060,2
145,Customer_145,46,41000,Male,Married,PhD,No,97791,2
146,Customer_146,37,109000,Female,Married,Master,No,86887,4
147,Customer_147,38,28000,Female,Married,Bachelor,No,49077,4
148,Customer_148,39,150000,Male,Divorced,Bachelor,No,46200,5
149,Customer_149,62,78000,Female,Divorced,Bachelor,No,21636,2
150,Customer_150,42,145000,Male,Single,Bachelor,No,16172,1
151,Customer_151,50,58000,Female,Divorced,Bachelor,Yes,16615,4
152,Customer_152,30,122000,Male,Single,PhD,Yes,70669,1
153,Customer_153,39,64000,Female,Divorced,Bachelor,Yes,44125,5
154,Customer_154,59,131000,Male,Single,High School,Yes,42841,3
155,Customer_155,61,156000,Female,Married,Master,Yes,64980,3
156,Customer_156,75,56000,Male,Divorced,Bachelor,No,13755,2
157,Customer_157,56,65000,Male,Single,PhD,Yes,51854,4
158,Customer_158,23,141000,Female,Single,Master,Yes,28080,2
159,Customer_159,35,83000,Female,Single,Bachelor,No,93897,3
160,Customer_160,50,47000,Male,Divorced,Bachelor,Yes,15345,5
161,Customer_161,24,45000,Male,Married,High School,No,65552,1
162,Customer_162,22,99000,Female,Single,Master,No,60047,2
163,Customer_163,36,137000,Female,Divorced,Master,No,27882,5
164,Customer_164,73,127000,Female,Divorced,High School,No,95045,3
165,Customer_165,26,58000,Female,Divorced,Bachelor,Yes,25250,3
166,Customer_166,70,78000,Male,Married,Bachelor,Yes,42363,5
167,Customer_167,30,26000,Male,Divorced,High School,No,30761,4
168,Customer_168,71,179000,Female,Divorced,PhD,Yes,65031,5
169,Customer_169,61,78000,Female,Married,High School,No,12212,5
170,Customer_170,56,168000,Female,Single,High School,No,85893,4
171,Customer_171,66,63000,Male,Divorced,Bachelor,No,33417,2
172,Customer_172,25,186000,Female,Single,Master,No,34617,5
173,Customer_173,41,130000,Female,Divorced,Bachelor,No,41114,1
174,Customer_174,51,41000,Female,Single,PhD,No,88204,1
175,Customer_175,48,111000,Male,Divorced,High School,Yes,27348,3
176,Customer_176,41,86000,Male,Single,PhD,No,16323,5
